date,open,high,low,close,volume
5/18/2018,44.3844,44.5315,44.1331,44.1758,73190912
5/21/2018,44.5765,44.8776,44.3182,44.4887,73603148
5/22/2018,44.6654,44.7851,44.2872,44.3773,60962816
5/23/2018,44.1852,44.695,44.0453,44.6618,80233660
5/24/2018,44.759,44.7756,44.152,44.612,92935900
5/25/2018,44.631,44.9677,44.4935,44.714,69843852
5/29/2018,44.4816,44.7543,44.3085,44.5528,90056300
5/30/2018,44.5101,44.5765,44.2872,44.4579,74762188
5/31/2018,44.3915,44.631,44.1354,44.3085,109931172
6/1/2018,44.5744,45.1123,44.5172,45.1076,93770040
6/4/2018,45.4384,45.8616,45.3708,45.4846,105064696
6/5/2018,45.7774,45.9849,45.6103,45.8355,86263852
6/6/2018,45.9114,46.0181,45.5059,45.9944,83734476
6/7/2018,46.0323,46.0465,45.6043,45.8711,85388720
6/8/2018,45.3281,45.5249,44.9962,45.4538,106627196
6/11/2018,45.3708,45.5178,45.1005,45.3423,73233840
6/12/2018,45.3791,45.6698,45.3234,45.5913,67644564
6/13/2018,45.6245,45.7336,45.155,45.2167,86553572
6/14/2018,45.4182,45.4229,45.1029,45.2404,86440296
6/15/2018,45.0578,45.0886,44.6381,44.7756,246876640
6/18/2018,44.548,44.8657,44.3868,44.7519,73939460
6/19/2018,43.8983,44.1805,43.4976,44.0287,134313820
6/20/2018,44.1852,44.3868,44.0382,44.2208,82514804
6/21/2018,44.3986,44.6595,43.8509,43.9742,102847592
6/22/2018,44.1307,44.1378,43.794,43.8462,108801788
6/25/2018,43.4858,43.8462,42.8527,43.1941,126652384
6/26/2018,43.3886,44.2279,43.2819,43.73,98276804
6/27/2018,43.9192,44.4058,43.6351,43.666,101141312
6/28/2018,43.6517,44.152,43.5806,43.9837,69460940
6/29/2018,44.171,44.3844,43.3696,43.8912,90950664
7/2/2018,43.5854,44.4105,43.4905,44.382,70699152
7/3/2018,44.5267,44.5646,43.519,43.6091,55819224
7/5/2018,43.9268,44.1995,43.6944,43.96,66416992
7/6/2018,43.9647,44.6794,43.9126,44.5694,69940980
7/9/2018,44.9321,45.2119,44.8847,45.1882,79026536
7/10/2018,45.219,45.3542,45.0934,45.1337,63756596
7/11/2018,44.695,44.9985,44.484,44.548,75325880
7/12/2018,44.9392,45.385,44.8871,45.2949,72164524
7/13/2018,45.3068,45.487,45.2641,45.366,50079168
7/16/2018,45.4111,45.679,45.1491,45.2665,60172440
7/17/2018,44.9914,45.4941,44.861,45.3945,62138092
7/18/2018,45.4727,45.4775,45.0341,45.1455,65573524
7/19/2018,44.9772,45.6553,44.9772,45.4965,81147008
7/20/2018,45.4727,45.6269,45.091,45.3921,82824168
7/23/2018,45.2119,45.5154,44.9464,45.4324,63957460
7/24/2018,45.6316,45.9185,45.5368,45.762,74791592
7/25/2018,45.7763,46.2007,45.6269,46.1936,67305932
7/26/2018,46.1438,46.4639,45.9067,46.0489,76303856
7/27/2018,46.2339,46.2813,45.0744,45.2831,96095888
7/30/2018,45.5012,45.5723,44.8302,45.0293,84118140
7/31/2018,45.1218,45.5581,44.8942,45.1195,157492152
8/1/2018,47.2155,47.8391,46.784,47.7774,271742864
8/2/2018,47.5593,49.4088,47.5048,49.174,249616048
8/3/2018,49.0887,49.4941,48.7212,49.3163,133789584
8/6/2018,49.3186,49.615,49.0981,49.5724,101701548
8/7/2018,49.6316,49.6743,49.0246,49.1076,102349548
8/8/2018,48.8563,49.2736,48.4935,49.1408,90101948
8/9/2018,49.1479,49.7407,49.129,49.5273,93970504
8/10/2018,49.3398,49.7539,49.1757,49.3803,98444808
8/13/2018,49.4207,50.1945,49.4207,49.6991,103563520
8/14/2018,50.0049,50.1013,49.554,49.9085,82992040
8/15/2018,49.7824,50.1441,49.5707,50.0251,115230256
8/16/2018,50.3844,50.8751,50.3178,50.758,114001468
8/17/2018,50.7865,51.8597,50.7199,51.7716,141707988
8/20/2018,51.8954,52.1523,51.1839,51.2672,121150780
8/21/2018,51.586,51.6788,50.9257,51.1672,104639020
8/22/2018,50.9436,51.4813,50.8817,51.1696,76072524
8/23/2018,51.0745,51.6455,51.0626,51.2743,75532896
8/24/2018,51.5384,51.6098,51.1839,51.4337,73905424
8/27/2018,51.6693,52.0476,51.4742,51.8573,82100468
8/28/2018,52.1119,52.4759,52.0905,52.2761,91107064
8/29/2018,52.3831,53.1779,52.2071,53.0565,109019216
8/30/2018,53.1208,54.3129,52.9185,53.5443,195175296
8/31/2018,53.8965,54.458,53.7751,54.163,173360536
9/4/2018,54.3485,54.5318,53.925,54.3366,109560528
9/5/2018,54.4866,54.6484,53.561,53.9821,133331840
9/6/2018,53.8298,54.0963,52.6568,53.0851,137159904
9/7/2018,52.7876,53.6252,52.5164,52.6568,150479240
9/10/2018,52.5735,52.7876,51.5075,51.9501,158065812
9/11/2018,51.8739,53.3704,51.5289,53.2635,142996196
9/12/2018,53.5229,53.5372,52.3094,52.602,197114960
9/13/2018,53.185,54.3343,52.959,53.8727,166825508
